id,path,title,kind,count,creator,created,source_type,license,commercial_use,modification,evidence,status,note
A001,src/**; public/games/**/*.js; public/games/**/*.css; public/games/**/*.html,All TarikLab titles,code,,TarikLab (owner) with AI coding assistants,2026-08..2026-09,original code written in-repo,All Rights Reserved (LICENSE),owner,original,git history of tayaz-maker/tariklab,REVIEW,Owner to record the commercial-use terms of each AI coding service used (provider + plan + date) in this register; no third-party source files are vendored except the npm packages in THIRD_PARTY_NOTICES.md.
A002,node_modules (client bundle),Portal and Çete Savaşları runtime,library,55,see THIRD_PARTY_NOTICES.md,n/a,npm packages,"MIT, ISC, Apache-2.0, 0BSD",yes (permissive; notice required),unmodified,docs/ip/client-packages.json + docs/ip/THIRD_PARTY_NOTICES.md,CLEARED,"react-remove-scroll-bar ships no license file; package.json declares MIT. pixi.js (MIT, v8.21.0) is vendored as a static file (public/vendor/pixi/) for the Kıyı Eşiği map renderer, not part of the Rollup client bundle, but tracked by the same generator/count. Upstream text to be confirmed before offline/store distribution."
A003,public/games/jitem-derin-ag/assets/*,JITEM: Derin Ağ runtime,library,,tayaz-maker/jitem-derin-ag build (React/TanStack/Tailwind),2026-09,npm packages bundled by the JITEM build,"MIT, ISC and others (same stack)",yes (permissive; notice required),unmodified,public/games/jitem-derin-ag/SOURCE.json,REVIEW,JITEM's own client package list is not yet generated; run the same collector against its build before any new publication.
A004,(none),All titles,font,0,,,,,,,"grep of public/ and src/ for @font-face, woff, ttf, otf and Google Fonts on 2026-09-23: none",CLEARED,"Only system font stacks are named (Barlow, Georgia, Segoe UI, system-ui…); no font file is shipped or loaded. A named font renders only if the visitor already has it installed."
A005,(none),All titles,audio,0,,,,,,,find public src for mp3/ogg/wav/m4a/aac/flac on 2026-09-24: none; Bükücü Web Audio tones and navigator.vibrate removed; Çete Savaşları navigator.vibrate haptics and the game-frame autoplay permission removed 2026-09-24; guarded by scripts/silence.test.mjs,CLEARED,"No audio assets and no generated tones. Bükücü stays silent. This row is a record, not a licence claim."
A006,(none),All titles,map data,0,,,,,,,no tiles/shapefiles/GeoJSON/third-party map files in repo,CLEARED,HANEDANIAN and Çete Savaşları maps are procedurally generated from seeds in code.
A007,public/games/tc-sim-devlet/maps.js,TC SIM: DEVLET,map geometry,1,TarikLab (Claude implementation session),2026-09-23,hand-picked lon/lat reference points typed from general geographic knowledge,All Rights Reserved,owner,original,PR #76 diff; file header,REVIEW,No map file or tile set was opened or traced. Coarse region outlines of Turkey's seven geographic regions; facts of geography are not claimed as TarikLab's. Merged in PR #76 (787c6cb).
A008,(removed) public/games/darbe-h/assets/plates/*.webp,DARBE-H!,illustration (AI-generated),0,AI image-generation tool used by the implementing agent,2026-09-20,text prompt only (docs/darbe-h/editorial-generation-prompts.json); no image references,n/a (removed),n/a (removed),,docs/darbe-h/EDITORIAL_PLATES.md,CLEARED,Removed on 2026-09-24; no DARBE-H! file embeds these plates any more (see A009 and docs/ip/card-art-2026-09-24.md). Kept as a history row.
A009,public/games/darbe-h/assets/card-art/*.svg; public/games/darbe-h/assets/cards/*.svg,DARBE-H!,card illustration + card face (code-drawn SVG),600,TarikLab (Claude implementation session),2026-09-24,"card-art: hand-written SVG motifs composed per card by scripts/darbe-h-card-art/compose.mjs; cards/: the same card-art SVG embedded in the unchanged 400x560 frame by scripts/build-darbe-h-art.mjs; no reference image, no model",All Rights Reserved,owner,original,scripts/build-darbe-h-card-art.mjs; scripts/build-darbe-h-art.mjs; docs/ip/card-art-2026-09-24.md,REVIEW,"Frame, labels, colours and data-* contract unchanged; only the picture changed. This row is a record, not a licence claim."
A010,public/games/veto-h/assets/cards/*.webp (via scripts/duel-art-packs),VETO-H!,"illustration (code-drawn, rasterised)",300,TarikLab (Claude implementation session),2026-09-24,"hand-written SVG motifs composed per card from card name, series, kind and level by scripts/duel-card-art/compose.mjs, rasterised to 576x384 lossy WebP by scripts/build-duel-card-art.mjs (Chromium canvas); no reference image, no image model",All Rights Reserved,owner,original,scripts/duel-card-art/; scripts/build-duel-card-art.mjs; art-manifest.json hashes; docs/ip/card-art-2026-09-24.md,REVIEW,"Replaces the earlier AI-generated card art with unrecorded provider terms (removed). Figures are featureless silhouettes; no real person, party symbol, logo or text. This row is a record, not a licence claim."
A011,public/games/gett-oh/assets/cards/*.webp (via scripts/duel-art-packs),GETT-OH!,"illustration (code-drawn, rasterised)",300,TarikLab (Claude implementation session),2026-09-24,"hand-written SVG motifs composed per card from card name, series, kind and level by scripts/duel-card-art/compose.mjs, rasterised to 400x300 lossy WebP by scripts/build-duel-card-art.mjs (Chromium canvas); no reference image, no image model",All Rights Reserved,owner,original,scripts/duel-card-art/; scripts/build-duel-card-art.mjs; art-manifest.json hashes; docs/ip/card-art-2026-09-24.md,REVIEW,"Replaces the earlier AI-generated card art with unrecorded provider terms (removed). Figures are featureless silhouettes; no real person, party symbol, logo or text. This row is a record, not a licence claim."
A012,public/games/veto-h/assets/atmosphere.webp; public/games/gett-oh/assets/atmosphere.webp,VETO-H! / GETT-OH!,"background illustration (code-drawn, rasterised)",2,TarikLab (Claude implementation session),2026-09-24,scripts/duel-card-art/compose.mjs atmosphere(); rasterised 1600x900 WebP,All Rights Reserved,owner,original,scripts/build-duel-card-art.mjs; docs/ip/card-art-2026-09-24.md,REVIEW,"Replaces the earlier AI-generated table backgrounds (removed). This row is a record, not a licence claim."
A013,public/og.jpg; public/x-banner.jpg,Portal share images,raster image (code-rendered),2,TarikLab (Claude implementation session),2026-09-24,inline SVG/CSS + seeded PRNG rendered by scripts/ip/render-original-art.mjs; T monogram from public/brand/app-mark.svg; no reference image,All Rights Reserved,owner,original,scripts/ip/render-original-art.mjs; docs/ip/original-art-2026-09-24.md,REVIEW,"Replaces the 2026-08-23 imported share images whose creator was unrecorded. This row is a record, not a licence claim."
A014,public/games/jitem-derin-ag/images/map.jpg; public/games/jitem-derin-ag/images/office.jpg; public/games/jitem-derin-ag/og.jpg; public/games/jitem-derin-ag/x-banner.jpg,JITEM: Derin Ağ,raster image (code-rendered),4,TarikLab (Claude implementation session),2026-09-24,"inline SVG/CSS + seeded PRNG rendered by scripts/ip/render-original-art.mjs; abstract network/contours, no real geography; no reference image",All Rights Reserved,owner,original,scripts/ip/render-original-art.mjs; docs/ip/original-art-2026-09-24.md,REVIEW,"Replaces JITEM images whose creator was unrecorded; unreferenced road.jpg removed. The standalone tayaz-maker/jitem-derin-ag repo switched to the same files in its PR #20 (15109b7). This row is a record, not a licence claim."
A015,public/games/bukucu/icon.svg,Son Mahalle Bükücü,icon (code-drawn),1,TarikLab (implementation session),2026-09-24,hand-written SVG; no reference image,All Rights Reserved,owner,original,docs/ip/bukucu-silence.md,REVIEW,"Replaces unrecorded PNG icons. This row is a record, not a licence claim. The old PNG files are removed."
A016,public/favicon.svg; public/brand/*; docs/brand/*.svg,TarikLab T monogram,logo (code-drawn),8,TarikLab (Claude implementation session),2026-09-23,hand-written SVG geometry; PNG/ICO rendered from it with sharp,All Rights Reserved,owner,original,PR #73,REVIEW,Merged in PR #73 (c8f8a75). Mark is a new logo: TÜRKPATENT/figurative search not yet performed (see TRADEMARK_CLEARANCE.md).
A017,public/games/*/favicon.svg; public/games/*/assets/emblem.svg; public/games/hanedanian/icon.svg,Per-game icons,icon (code-drawn),9,TarikLab (implementing agents),2026-08..2026-09,hand-written SVG,All Rights Reserved,owner,original,git history,CLEARED,Small hand-written SVG sources in repo.
A018,src/game/db/sources.ts (jitem-derin-ag),JITEM: Derin Ağ,factual source catalogue,17,TarikLab,2026-09,bibliographic references to published books/testimony/commission records,n/a (citations),n/a,original summaries,jitem-derin-ag docs/SOURCES.md,REVIEW,Catalogue cites titles and authors; counsel to confirm no quoted passage exceeds quotation-right limits and that real-person content is acceptable.
A019,public/games/proto-apartman/* (draft PR #78 only; not on main),Apartment community slice (working name private),code + code-drawn SVG + original text,5 files,TarikLab (Claude implementation session),2026-09-23,"original rules, text and SVG plan written in-repo; no reference imagery opened while building",All Rights Reserved,owner,original,docs/ip/slices/APARTMENT.md; git history,BLOCKED,Draft closed as superseded by #91 on 2026-09-24; never merged. Kept as a history row.
A020,public/games/proto-transit/* (draft PR #79 only; not on main),Transit-network slice (working name private),code + code-drawn SVG map + original text,5 files,TarikLab (Claude implementation session),2026-09-23,"original rules, fictional bay-city map with hand-authored coordinates, original text; no reference imagery or real map consulted while building",All Rights Reserved,owner,original,docs/ip/slices/TRANSIT.md; git history,BLOCKED,Draft closed as superseded by #92 on 2026-09-24; never merged. Kept as a history row.
A021,(planned) public/games/<novella-slice>/**,Interactive novella slice (working name private),original text + code,,TarikLab (Claude implementation session),2026-09,original text written from scratch; no public-domain or translated text,All Rights Reserved,owner,original,branch claude/slice-novella (no PR; LATER),BLOCKED,Same as A019. Paused as LATER; no PR and no record beyond this row.
A022,src/styles.css (portal hero background),Portal,background (CSS gradients),1,TarikLab (Claude implementation session),2026-09-24,CSS radial/linear gradients written in-repo,All Rights Reserved,owner,original,src/styles.css; docs/ip/original-art-2026-09-24.md,CLEARED,"Replaces public/brand/prism-spectrum.webp (creator unrecorded; removed). This row is a record, not a licence claim."
A023,public/games/hanedanian/map.js; public/games/hanedanian/map-dom.js,HANEDANIAN Kuzey Işığı Rölyefi,procedural terrain and object grammar,10 object families / 3 zoom bands,TarikLab (Astra implementation session),2026-09-26,original in-repo Canvas and SVG geometry; seeded existing world,All Rights Reserved,owner,original,astra/hanedanian-living-atlas; scripts/hanedanian-map-relief.test.mjs,CLEARED,"No downloaded art, reference map, texture, font, logo or runtime dependency added. Existing pinned PixiJS retained."
